feedback,sentiment,timestamp,department,patient_age_group,visit_type
"receptionist provided excellent care and attention. Additionally, Got seen right away. Additionally, Excellent facilities.",2,2024-08-07 11:26:59.459570,Emergency,31-45,Routine Checkup
Excessive waiting time! The procedure didn't help much.,0,2024-08-07 11:26:59.461030,Surgery,18-30,Consultation
Waited as expected.,1,2024-08-07 11:26:59.462221,Neurology,61-75,Routine Checkup
Minimal waiting time.,2,2024-08-07 11:26:59.463421,Oncology,75+,Routine Checkup
"The facility was clean and modern. Additionally, Great outcome from the treatment.",2,2024-08-07 11:26:59.464129,Emergency,61-75,Emergency
"The treatment wasn't effective. Additionally, Excessive waiting time. Additionally, Poor maintenance of the premises.",0,2024-08-07 11:26:59.475683,Oncology,46-60,Procedure
"The procedure didn't help much. Additionally, The care team was not very helpful.",0,2024-08-07 11:26:59.475880,Oncology,75+,Routine Checkup
The physician was present when needed! Acceptable cleanliness.,1,2024-08-07 11:26:59.478595,Pediatrics,61-75,Procedure
"Completely satisfied with the care received. Additionally, The specialist took time to explain everything clearly.",2,2024-08-07 11:26:59.478985,Pediatrics,18-30,Emergency
The wait was reasonable. The doctor was okay. The treatment was okay.,1,2024-08-07 11:26:59.479875,Pediatrics,61-75,Follow-up
"The surgeon seemed rushed and inattentive. Also, Spent hours waiting.",0,2024-08-07 11:26:59.481950,Emergency,18-30,Follow-up
The treatment was okay.,1,2024-08-07 11:26:59.483768,Cardiology,31-45,Consultation
Acceptable cleanliness. The care team was present when needed. Standard procedure.,1,2024-08-07 11:26:59.484202,General Medicine,46-60,Routine Checkup
"The receptionist was extremely professional and caring. Moreover, Got seen right away.",2,2024-08-07 11:26:59.484549,Oncology,46-60,Consultation
"The treatment was okay. Additionally, The wait was reasonable. Additionally, Acceptable cleanliness.",1,2024-08-07 11:26:59.489322,Oncology,46-60,Emergency
"The facility was clean and modern. Additionally, Impressed with how quickly I was seen. Additionally, healthcare provider provided excellent care and attention.",2,2024-08-07 11:26:59.491573,Pediatrics,61-75,Consultation
Regular interaction with the nurse.,1,2024-08-08 11:26:59.445534,Orthopedics,75+,Emergency
"Standard procedure. Moreover, The healthcare provider was present when needed.",1,2024-08-08 11:26:59.449402,Neurology,31-45,Follow-up
Disappointed with the doctor's attitude.,0,2024-08-08 11:26:59.449844,Pediatrics,31-45,Routine Checkup
Unsatisfactory treatment outcome.,0,2024-08-08 11:26:59.449980,Obstetrics,31-45,Emergency
"Standard hospital environment. Moreover, The wait was reasonable.",1,2024-08-08 11:26:59.452546,Orthopedics,18-30,Procedure
Poor treatment experience. Poor communication from the surgeon.,0,2024-08-08 11:26:59.453481,Orthopedics,61-75,Consultation
"Regular facility conditions. Additionally, Regular treatment process.",1,2024-08-08 11:26:59.455906,Obstetrics,18-30,Consultation
The facility needs updating.,0,2024-08-08 11:26:59.456945,General Medicine,75+,Follow-up
Completely satisfied with the care received! Impressed with how quickly I was seen! surgeon provided excellent care and attention.,2,2024-08-08 11:26:59.462058,Cardiology,61-75,Emergency
"Excellent treatment results. Moreover, No delays in the appointment. Moreover, Exceptional service from the healthcare provider.",2,2024-08-08 11:26:59.465643,Obstetrics,18-30,Consultation
"Impressed with how quickly I was seen. Additionally, The procedure went very well.",2,2024-08-08 11:26:59.466944,General Medicine,18-30,Procedure
Waited as expected.,1,2024-08-08 11:26:59.467072,Pediatrics,31-45,Emergency
"Spent hours waiting. Moreover, Disappointed with the receptionist's attitude. Moreover, The treatment wasn't effective.",0,2024-08-08 11:26:59.468770,Neurology,18-30,Emergency
Very comfortable environment. Very effective treatment. Got seen right away.,2,2024-08-08 11:26:59.468868,Cardiology,18-30,Procedure
"Exceptional service from the surgeon. Additionally, Very efficient process.",2,2024-08-08 11:26:59.469269,Oncology,18-30,Follow-up
Poor maintenance of the premises.,0,2024-08-08 11:26:59.469739,Surgery,46-60,Follow-up
"Poor maintenance of the premises. Additionally, The surgeon was not very helpful.",0,2024-08-08 11:26:59.474265,General Medicine,31-45,Follow-up
Well-maintained hospital environment. Very effective treatment. Impressed with how quickly I was seen.,2,2024-08-08 11:26:59.475923,Oncology,46-60,Procedure
The healthcare provider was extremely professional and caring.,2,2024-08-08 11:26:59.476251,Orthopedics,31-45,Consultation
Exceptional service from the physician. Completely satisfied with the care received.,2,2024-08-08 11:26:59.479779,Surgery,18-30,Emergency
"Regular treatment process. Also, Standard hospital environment. Also, The staff member was present when needed.",1,2024-08-08 11:26:59.481299,Pediatrics,46-60,Consultation
"Cleanliness issues in the facility. Also, Unsatisfactory treatment outcome. Also, Poor communication from the healthcare provider.",0,2024-08-08 11:26:59.482708,Orthopedics,18-30,Procedure
"Poor treatment experience. Also, The staff member was not very helpful.",0,2024-08-08 11:26:59.483198,Orthopedics,18-30,Routine Checkup
"doctor provided excellent care and attention. Additionally, Well-maintained hospital environment.",2,2024-08-08 11:26:59.485181,Cardiology,75+,Routine Checkup
Treatment was as expected.,1,2024-08-08 11:26:59.485209,Oncology,31-45,Procedure
"Excellent treatment results. Moreover, Exceptional service from the healthcare provider.",2,2024-08-08 11:26:59.485442,Pediatrics,46-60,Follow-up
The specialist was present when needed.,1,2024-08-08 11:26:59.485808,Neurology,61-75,Procedure
The procedure went very well! No delays in the appointment.,2,2024-08-08 11:26:59.489658,Oncology,31-45,Procedure
"The wait was reasonable. Also, Basic but functional facility. Also, The healthcare provider was present when needed.",1,2024-08-08 11:26:59.489988,Orthopedics,61-75,Procedure
Very impressed with the care team's expertise! The facility was clean and modern! No delays in the appointment.,2,2024-08-08 11:26:59.490131,Pediatrics,31-45,Routine Checkup
"Waited as expected. Moreover, Treatment was as expected. Moreover, receptionist did their job as expected.",1,2024-08-08 11:26:59.491853,Oncology,46-60,Follow-up
"Poor communication from the specialist. Also, Poor treatment experience.",0,2024-08-08 11:26:59.492912,Emergency,46-60,Routine Checkup
The physician took time to explain everything clearly.,2,2024-08-08 11:26:59.492932,Pediatrics,46-60,Follow-up
"Very impressed with the specialist's expertise. Moreover, The procedure went very well.",2,2024-08-09 11:26:59.444181,Surgery,18-30,Emergency
Great outcome from the treatment.,2,2024-08-09 11:26:59.446379,Emergency,61-75,Emergency
Got seen right away. Excellent facilities.,2,2024-08-09 11:26:59.449671,Emergency,75+,Routine Checkup
Completely satisfied with the care received. Excellent facilities. Got seen right away.,2,2024-08-09 11:26:59.451653,Neurology,46-60,Procedure
Uncomfortable environment! The waiting time was frustrating! Poor communication from the doctor.,0,2024-08-09 11:26:59.453216,Obstetrics,61-75,Routine Checkup
Exceptional service from the staff member.,2,2024-08-09 11:26:59.454113,Emergency,46-60,Routine Checkup
Completely satisfied with the care received. The receptionist took time to explain everything clearly. Very comfortable environment.,2,2024-08-09 11:26:59.454741,General Medicine,31-45,Follow-up
The facility was clean and modern! Minimal waiting time! The procedure went very well.,2,2024-08-09 11:26:59.457405,Pediatrics,61-75,Procedure
Not happy with the results.,0,2024-08-09 11:26:59.457722,Cardiology,18-30,Procedure
The wait was reasonable.,1,2024-08-09 11:26:59.461954,Oncology,61-75,Consultation
Regular facility conditions.,1,2024-08-09 11:26:59.464253,Obstetrics,31-45,Follow-up
Exceptional service from the nurse.,2,2024-08-09 11:26:59.466756,Obstetrics,18-30,Procedure
"The surgeon was not very helpful. Moreover, Spent hours waiting. Moreover, The procedure didn't help much.",0,2024-08-09 11:26:59.468191,Surgery,31-45,Emergency
Basic but functional facility.,1,2024-08-09 11:26:59.468642,Surgery,31-45,Emergency
Regular interaction with the care team. The wait was reasonable.,1,2024-08-09 11:26:59.469316,Obstetrics,75+,Consultation
"healthcare provider provided excellent care and attention. Additionally, The facility was clean and modern. Additionally, Very effective treatment.",2,2024-08-09 11:26:59.469571,Surgery,18-30,Procedure
receptionist did their job as expected.,1,2024-08-09 11:26:59.469946,Orthopedics,61-75,Routine Checkup
Normal wait times.,1,2024-08-09 11:26:59.471249,Surgery,31-45,Consultation
"The facility needs updating. Moreover, The waiting time was frustrating.",0,2024-08-09 11:26:59.471911,Oncology,75+,Emergency
"Well-maintained hospital environment. Also, No delays in the appointment. Also, Exceptional service from the healthcare provider.",2,2024-08-09 11:26:59.473233,General Medicine,75+,Follow-up
Treatment was as expected! Regular interaction with the receptionist.,1,2024-08-09 11:26:59.475647,Emergency,18-30,Emergency
"Excellent facilities. Also, The procedure went very well.",2,2024-08-09 11:26:59.476046,General Medicine,31-45,Routine Checkup
Regular treatment process.,1,2024-08-09 11:26:59.479843,Oncology,31-45,Routine Checkup
"Standard hospital environment. Additionally, The healthcare provider was present when needed.",1,2024-08-09 11:26:59.487663,Oncology,61-75,Consultation
"The healthcare provider was extremely professional and caring. Additionally, Got seen right away.",2,2024-08-09 11:26:59.488278,Emergency,18-30,Procedure
Regular treatment process.,1,2024-08-10 11:26:59.446098,Obstetrics,31-45,Emergency
"Completely satisfied with the care received. Also, Excellent facilities.",2,2024-08-10 11:26:59.448055,Emergency,18-30,Routine Checkup
"Poor communication from the nurse. Moreover, The procedure didn't help much.",0,2024-08-10 11:26:59.450733,Cardiology,18-30,Emergency
Very impressed with the physician's expertise.,2,2024-08-10 11:26:59.450848,Cardiology,61-75,Routine Checkup
"doctor provided excellent care and attention. Additionally, Excellent facilities.",2,2024-08-10 11:26:59.451552,Pediatrics,46-60,Follow-up
"The wait was reasonable. Moreover, The treatment was okay.",1,2024-08-10 11:26:59.452948,Emergency,75+,Routine Checkup
Normal wait times.,1,2024-08-10 11:26:59.456872,Obstetrics,61-75,Procedure
Poor maintenance of the premises.,0,2024-08-10 11:26:59.460407,Cardiology,61-75,Follow-up
The specialist was okay. Basic but functional facility.,1,2024-08-10 11:26:59.462495,General Medicine,61-75,Procedure
Regular treatment process.,1,2024-08-10 11:26:59.463949,Surgery,18-30,Emergency
"Excessive waiting time. Also, The care team was not very helpful.",0,2024-08-10 11:26:59.464614,Obstetrics,61-75,Consultation
"Acceptable cleanliness. Additionally, receptionist did their job as expected.",1,2024-08-10 11:26:59.469302,Emergency,31-45,Follow-up
"Exceptional service from the doctor. Also, Great outcome from the treatment.",2,2024-08-10 11:26:59.471124,Emergency,75+,Routine Checkup
Unsatisfactory treatment outcome! Unacceptable delays.,0,2024-08-10 11:26:59.473868,Pediatrics,31-45,Follow-up
"Very effective treatment. Also, State-of-the-art equipment.",2,2024-08-10 11:26:59.474479,Pediatrics,46-60,Routine Checkup
The physician was present when needed. Regular facility conditions.,1,2024-08-10 11:26:59.474675,Surgery,75+,Procedure
Minimal waiting time.,2,2024-08-10 11:26:59.475021,General Medicine,61-75,Routine Checkup
The physician was present when needed! Basic but functional facility! Treatment was as expected.,1,2024-08-10 11:26:59.480433,Cardiology,46-60,Consultation
"Well-maintained hospital environment. Additionally, Completely satisfied with the care received. Additionally, The nurse took time to explain everything clearly.",2,2024-08-10 11:26:59.480860,Emergency,61-75,Routine Checkup
Average waiting time.,1,2024-08-10 11:26:59.484931,Neurology,61-75,Consultation
"Great outcome from the treatment. Moreover, State-of-the-art equipment.",2,2024-08-10 11:26:59.487200,Cardiology,31-45,Routine Checkup
"Regular treatment process. Additionally, doctor did their job as expected.",1,2024-08-10 11:26:59.487492,Oncology,31-45,Consultation
"Unsatisfactory treatment outcome. Moreover, Cleanliness issues in the facility. Moreover, Spent hours waiting.",0,2024-08-10 11:26:59.492176,Pediatrics,31-45,Routine Checkup
The nurse was extremely professional and caring. No delays in the appointment. Great outcome from the treatment.,2,2024-08-10 11:26:59.492946,Cardiology,46-60,Consultation
Regular interaction with the receptionist! Basic but functional facility.,1,2024-08-11 11:26:59.444666,Cardiology,75+,Consultation
Exceptional service from the physician.,2,2024-08-11 11:26:59.450885,Orthopedics,75+,Emergency
Got seen right away.,2,2024-08-11 11:26:59.452605,Obstetrics,18-30,Follow-up
Impressed with how quickly I was seen.,2,2024-08-11 11:26:59.457423,Pediatrics,46-60,Emergency
"The procedure didn't help much. Additionally, Cleanliness issues in the facility. Additionally, Disappointed with the staff member's attitude.",0,2024-08-11 11:26:59.464912,Orthopedics,61-75,Emergency
Minimal waiting time.,2,2024-08-11 11:26:59.465819,Orthopedics,18-30,Follow-up
nurse provided excellent care and attention.,2,2024-08-11 11:26:59.467132,Oncology,31-45,Consultation
"Acceptable cleanliness. Also, Standard procedure. Also, The staff member was okay.",1,2024-08-11 11:26:59.467881,Emergency,31-45,Routine Checkup
Not happy with the results! The facility needs updating.,0,2024-08-11 11:26:59.468638,Obstetrics,75+,Procedure
"Normal wait times. Moreover, Basic but functional facility. Moreover, The treatment was okay.",1,2024-08-11 11:26:59.470145,General Medicine,31-45,Consultation
Regular interaction with the medical team! The wait was reasonable.,1,2024-08-11 11:26:59.470889,Neurology,46-60,Follow-up
Disappointed with the staff member's attitude! Poor maintenance of the premises.,0,2024-08-11 11:26:59.472314,Obstetrics,31-45,Consultation
nurse did their job as expected.,1,2024-08-11 11:26:59.474283,Emergency,61-75,Routine Checkup
Exceptional service from the nurse! Excellent facilities! The procedure went very well.,2,2024-08-11 11:26:59.477962,Emergency,75+,Routine Checkup
"Waited as expected. Also, Regular facility conditions.",1,2024-08-11 11:26:59.478091,Oncology,75+,Follow-up
"Average waiting time. Also, Standard hospital environment. Also, The specialist was present when needed.",1,2024-08-11 11:26:59.478738,Cardiology,46-60,Emergency
